Init
GetBestSellerModelByType 0
AddCarType 10 100
AddCarType 11 100
AddCarType 12 100
AddCarType 13 100
AddCarType 14 100
AddCarType 15 100
AddCarType 16 100
AddCarType 17 100
AddCarType 18 100
AddCarType 19 100
AddCarType 1 100
AddCarType 2 100
AddCarType 3 100
AddCarType 4 100
AddCarType 5 100
AddCarType 6 100
AddCarType 7 100
AddCarType 8 100
AddCarType 9 100
AddCarType 10 100
AddCarType 11 100
AddCarType 12 100
AddCarType 13 100
AddCarType 14 100
AddCarType 15 100
AddCarType 16 100
AddCarType 17 100
AddCarType 18 100
AddCarType 19 100
AddCarType 20 100
AddCarType 4 100
AddCarType 5 100
AddCarType 6 100
AddCarType 7 100
AddCarType 8 100
AddCarType 9 100
AddCarType 10 100
AddCarType 11 100
AddCarType 12 100
AddCarType 13 100
AddCarType 14 100
AddCarType 15 100
AddCarType 16 100
AddCarType 17 100
AddCarType 18 100
AddCarType 19 100
AddCarType 20 100
AddCarType 21 100
AddCarType 22 100
AddCarType 23 100
AddCarType 24 100
AddCarType 25 100
AddCarType 26 100
AddCarType 27 100
AddCarType 28 100
AddCarType 29 100
AddCarType 30 100
AddCarType 31 100
AddCarType 32 100
AddCarType 33 100
AddCarType 34 100
AddCarType 21 100
AddCarType 22 100
AddCarType 23 100
AddCarType 24 100
AddCarType 25 100
AddCarType 26 100
AddCarType 27 100
AddCarType 28 100
AddCarType 29 100
AddCarType 30 100
AddCarType 31 100
AddCarType 32 100
AddCarType 33 100
AddCarType 34 100
AddCarType 35 100
AddCarType 36 100
AddCarType 37 100
AddCarType 38 100
AddCarType 39 100
AddCarType 40 100
AddCarType 41 100
AddCarType 42 100
AddCarType 43 100
AddCarType 44 100
AddCarType 45 100
AddCarType 46 100
AddCarType 47 100
AddCarType 48 100
AddCarType 49 100
AddCarType 50 100
AddCarType 51 100
AddCarType 52 100
AddCarType 53 100
AddCarType 54 100
AddCarType 55 100
AddCarType 56 100
AddCarType 57 100
AddCarType 58 100
AddCarType 59 100
AddCarType 60 100
AddCarType 61 100
AddCarType 62 100
AddCarType 63 100
AddCarType 64 100
AddCarType 65 100
AddCarType 66 100
AddCarType 67 100
AddCarType 68 100
AddCarType 69 100
AddCarType 70 100
AddCarType 71 100
AddCarType 72 100
AddCarType 73 100
AddCarType 74 100
AddCarType 75 100
AddCarType 76 100
AddCarType 77 100
AddCarType 78 100
AddCarType 79 100
AddCarType 80 100
AddCarType 81 100
AddCarType 82 100
AddCarType 83 100
AddCarType 84 100
AddCarType 85 100
AddCarType 86 100
AddCarType 87 100
AddCarType 88 100
AddCarType 89 100
AddCarType 90 100
AddCarType 91 100
AddCarType 92 100
AddCarType 93 100
AddCarType 94 100
AddCarType 95 100
AddCarType 96 100
AddCarType 97 100
AddCarType 98 100
AddCarType 99 100
AddCarType 100 100
AddCarType 5 100
AddCarType 6 100
AddCarType 7 100
AddCarType 8 100
