1,629d0
< init done.
< GetIthSoldType: INVALID_INPUT
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: FAILURE
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: INVALID_INPUT
< SellCar: SUCCESS
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< GetIthSoldType: 5968
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: FAILURE
< UniteAgencies: SUCCESS
< UniteAgencies: SUCCESS
< SellCar: SUCCESS
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< GetIthSoldType: 9550
< SellCar: SUCCESS
< UniteAgencies: INVALID_INPUT
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< GetIthSoldType: INVALID_INPUT
< GetIthSoldType: 9550
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: INVALID_INPUT
< SellCar: SUCCESS
< SellCar: SUCCESS
< UniteAgencies: INVALID_INPUT
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< GetIthSoldType: INVALID_INPUT
< SellCar: SUCCESS
< SellCar: SUCCESS
< GetIthSoldType: FAILURE
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: 8074
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< UniteAgencies: SUCCESS
< GetIthSoldType: 7915
< UniteAgencies: SUCCESS
< GetIthSoldType: 2138
< SellCar: SUCCESS
< SellCar: INVALID_INPUT
< SellCar: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: INVALID_INPUT
< GetIthSoldType: 7915
< SellCar: INVALID_INPUT
< SellCar: SUCCESS
< GetIthSoldType: FAILURE
< SellCar: SUCCESS
< GetIthSoldType: INVALID_INPUT
< AddAgency: SUCCESS
< GetIthSoldType: 8062
< GetIthSoldType: 2138
< SellCar: SUCCESS
< SellCar: SUCCESS
< UniteAgencies: INVALID_INPUT
< SellCar: SUCCESS
< SellCar: INVALID_INPUT
< AddAgency: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< AddAgency: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< AddAgency: SUCCESS
< GetIthSoldType: 3938
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< SellCar: SUCCESS
< GetIthSoldType: 6197
< SellCar: SUCCESS
